,Open,High,Low,Close,Adj Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Open,Prev_CO_Diff,Prev_HL_Diff,Time
1,885.5499877929688,891.0,874.0999755859375,876.3499755859375,866.0222778320312,8919761,875.25,918.9500122070312,860.0,872.0,3.25,58.95001220703125,1
2,867.0,867.0,838.0,840.8499755859375,830.9406127929688,7372427,876.3499755859375,891.0,874.0999755859375,885.5499877929688,-9.20001220703125,16.9000244140625,2
3,848.5499877929688,856.7999877929688,825.0,826.1500244140625,816.4139404296875,7078291,840.8499755859375,867.0,838.0,867.0,-26.1500244140625,29.0,3
4,826.1500244140625,852.7000122070312,803.6500244140625,816.8499755859375,807.2235107421875,12444648,826.1500244140625,856.7999877929688,825.0,848.5499877929688,-22.39996337890625,31.79998779296875,4
5,818.0,834.7000122070312,816.8499755859375,823.0999755859375,813.3998413085938,4287864,816.8499755859375,852.7000122070312,803.6500244140625,826.1500244140625,-9.300048828125,49.04998779296875,5
6,831.5,841.4500122070312,814.25,820.2999877929688,810.6328735351562,4013031,823.0999755859375,834.7000122070312,816.8499755859375,818.0,5.0999755859375,17.85003662109375,6
7,820.2999877929688,824.7999877929688,801.0,811.6500244140625,802.0848388671875,2796468,820.2999877929688,841.4500122070312,814.25,831.5,-11.20001220703125,27.20001220703125,7
8,818.5499877929688,824.6500244140625,814.3499755859375,821.5999755859375,811.9175415039062,2215807,811.6500244140625,824.7999877929688,801.0,820.2999877929688,-8.64996337890625,23.79998779296875,8
9,829.9000244140625,841.4000244140625,825.2999877929688,837.75,827.877197265625,3133717,821.5999755859375,824.6500244140625,814.3499755859375,818.5499877929688,3.04998779296875,10.300048828125,9
10,810.0,822.0,810.0,811.2999877929688,801.7389526367188,4373090,837.75,841.4000244140625,825.2999877929688,829.9000244140625,7.8499755859375,16.10003662109375,10
11,811.4000244140625,817.4500122070312,808.5,810.4000244140625,800.8495483398438,1670031,811.2999877929688,822.0,810.0,810.0,1.29998779296875,12.0,11
12,809.9500122070312,813.7999877929688,804.0,805.7000122070312,796.2048950195312,1565763,810.4000244140625,817.4500122070312,808.5,811.4000244140625,-1.0,8.95001220703125,12
13,808.6500244140625,810.75,800.0,800.25,790.819091796875,2052785,805.7000122070312,813.7999877929688,804.0,809.9500122070312,-4.25,9.79998779296875,13
14,800.25,801.7000122070312,775.0999755859375,777.3499755859375,768.1890258789062,3033514,800.25,810.75,800.0,808.6500244140625,-8.4000244140625,10.75,14
15,772.9000244140625,772.9000244140625,751.7999877929688,753.0,744.1259765625,3774512,777.3499755859375,801.7000122070312,775.0999755859375,800.25,-22.9000244140625,26.60003662109375,15
16,752.9000244140625,752.9000244140625,736.0999755859375,738.0499877929688,729.3521728515625,4103499,753.0,772.9000244140625,751.7999877929688,772.9000244140625,-19.9000244140625,21.10003662109375,16
17,729.9000244140625,736.0,720.0999755859375,721.7000122070312,713.1948852539062,3729113,738.0499877929688,752.9000244140625,736.0999755859375,752.9000244140625,-14.85003662109375,16.800048828125,17
18,713.0,719.75,708.0499877929688,709.7000122070312,701.3363037109375,3464178,721.7000122070312,736.0,720.0999755859375,729.9000244140625,-8.20001220703125,15.9000244140625,18
19,690.9000244140625,690.9000244140625,667.0,668.25,660.3746948242188,7781730,709.7000122070312,719.75,708.0499877929688,713.0,-3.29998779296875,11.70001220703125,19
20,664.0999755859375,684.0,663.0,674.2999877929688,666.3534545898438,5348769,668.25,690.9000244140625,667.0,690.9000244140625,-22.6500244140625,23.9000244140625,20
21,681.0,709.7000122070312,679.0999755859375,690.1500244140625,682.0166625976562,9204318,674.2999877929688,684.0,663.0,664.0999755859375,10.20001220703125,21.0,21
22,703.4500122070312,706.0,667.0,669.3499755859375,661.4617919921875,4049782,690.1500244140625,709.7000122070312,679.0999755859375,681.0,9.1500244140625,30.60003662109375,22
23,669.0999755859375,669.3499755859375,651.0,654.5499877929688,646.836181640625,4043000,669.3499755859375,706.0,667.0,703.4500122070312,-34.10003662109375,39.0,23
